run_id,commit_sha,branch,dirty,created_at,run_dir
20260307_085022_f86f01c,f86f01c01910cd8d5bc4384bc2e683ccf21a8d88,main,true,2026-03-07T08:50:22Z,data/11_scores/online/runs/20260307_085022_f86f01c
20260307_090707_4a0dfab_dirty,4a0dfab76ac22fe48e26ac9eaf5972f0be256188,main,true,2026-03-07T09:07:07Z,data/11_scores/online/runs/20260307_090707_4a0dfab_dirty
20260307_090911_4a0dfab_dirty,4a0dfab76ac22fe48e26ac9eaf5972f0be256188,main,true,2026-03-07T09:09:11Z,data/11_scores/online/runs/20260307_090911_4a0dfab_dirty
20260307_092250_21484d0_dirty,21484d0f7c42306d7e9fc26c72bb2edbd2ebfe92,main,true,2026-03-07T09:22:50Z,data/11_scores/online/runs/20260307_092250_21484d0_dirty
